;;;;;;
No;"Kode Provinsi
Kemendagri";Provinsi;Tahun;Hewan;Jenis Pemotongan;Ekor
1;11;Aceh;2018;Sapi;Pemotongan Tercatat;59442
2;12;Sumatera Utara;2018;Sapi;Pemotongan Tercatat;62082
3;13;Sumatera Barat;2018;Sapi;Pemotongan Tercatat;82930
4;14;Riau;2018;Sapi;Pemotongan Tercatat;46603
5;15;Jambi;2018;Sapi;Pemotongan Tercatat;25714
6;16;Sumatera Selatan;2018;Sapi;Pemotongan Tercatat;58287
7;17;Bengkulu;2018;Sapi;Pemotongan Tercatat;13479
8;18;Lampung;2018;Sapi;Pemotongan Tercatat;46894
9;19;Kepulauan Bangka Belitung;2018;Sapi;Pemotongan Tercatat;5220
10;21;Kepulauan Riau;2018;Sapi;Pemotongan Tercatat;4717
11;31;DKI Jakarta;2018;Sapi;Pemotongan Tercatat;67079
12;32;Jawa Barat;2018;Sapi;Pemotongan Tercatat;289206
13;33;Jawa Tengah;2018;Sapi;Pemotongan Tercatat;250699
14;34;DI Yogyakarta;2018;Sapi;Pemotongan Tercatat;34951
15;35;Jawa Timur;2018;Sapi;Pemotongan Tercatat;316109
16;36;Banten;2018;Sapi;Pemotongan Tercatat;98885
17;51;Bali;2018;Sapi;Pemotongan Tercatat;31792
18;52;Nusa Tenggara Barat;2018;Sapi;Pemotongan Tercatat;53969
19;53;Nusa Tenggara Timur;2018;Sapi;Pemotongan Tercatat;69260
20;61;Kalimantan Barat;2018;Sapi;Pemotongan Tercatat;36033
21;62;Kalimantan Tengah;2018;Sapi;Pemotongan Tercatat;18442
22;63;Kalimantan Selatan;2018;Sapi;Pemotongan Tercatat;33638
23;64;Kalimantan Timur;2018;Sapi;Pemotongan Tercatat;43729
24;65;Kalimantan Utara;2018;Sapi;Pemotongan Tercatat;4017
25;71;Sulawesi Utara;2018;Sapi;Pemotongan Tercatat;18139
26;72;Sulawesi Tengah;2018;Sapi;Pemotongan Tercatat;28978
27;73;Sulawesi Selatan;2018;Sapi;Pemotongan Tercatat;122637
28;74;Sulawesi Tenggara;2018;Sapi;Pemotongan Tercatat;31349
29;75;Gorontalo;2018;Sapi;Pemotongan Tercatat;24726
30;76;Sulawesi Barat;2018;Sapi;Pemotongan Tercatat;13390
31;81;Maluku;2018;Sapi;Pemotongan Tercatat;12865
32;82;Maluku Utara;2018;Sapi;Pemotongan Tercatat;5478
33;92;Papua Barat;2018;Sapi;Pemotongan Tercatat;10227
34;91;Papua;2018;Sapi;Pemotongan Tercatat;11961
35;11;Aceh;2019;Sapi;Pemotongan Tercatat;53725
36;12;Sumatera Utara;2019;Sapi;Pemotongan Tercatat;66319
37;13;Sumatera Barat;2019;Sapi;Pemotongan Tercatat;88203
38;14;Riau;2019;Sapi;Pemotongan Tercatat;50395
39;15;Jambi;2019;Sapi;Pemotongan Tercatat;24791
40;16;Sumatera Selatan;2019;Sapi;Pemotongan Tercatat;59292
41;17;Bengkulu;2019;Sapi;Pemotongan Tercatat;14108
42;18;Lampung;2019;Sapi;Pemotongan Tercatat;50811
43;19;Kepulauan Bangka Belitung;2019;Sapi;Pemotongan Tercatat;7137
44;21;Kepulauan Riau;2019;Sapi;Pemotongan Tercatat;5606
45;31;DKI Jakarta;2019;Sapi;Pemotongan Tercatat;81147
46;32;Jawa Barat;2019;Sapi;Pemotongan Tercatat;284151
47;33;Jawa Tengah;2019;Sapi;Pemotongan Tercatat;243916
48;34;DI Yogyakarta;2019;Sapi;Pemotongan Tercatat;37997
49;35;Jawa Timur;2019;Sapi;Pemotongan Tercatat;312144
50;36;Banten;2019;Sapi;Pemotongan Tercatat;152163
51;51;Bali;2019;Sapi;Pemotongan Tercatat;35319
52;52;Nusa Tenggara Barat;2019;Sapi;Pemotongan Tercatat;55569
53;53;Nusa Tenggara Timur;2019;Sapi;Pemotongan Tercatat;68894
54;61;Kalimantan Barat;2019;Sapi;Pemotongan Tercatat;35724
55;62;Kalimantan Tengah;2019;Sapi;Pemotongan Tercatat;19480
56;63;Kalimantan Selatan;2019;Sapi;Pemotongan Tercatat;28478
57;64;Kalimantan Timur;2019;Sapi;Pemotongan Tercatat;43213
58;65;Kalimantan Utara;2019;Sapi;Pemotongan Tercatat;3666
59;71;Sulawesi Utara;2019;Sapi;Pemotongan Tercatat;17311
60;72;Sulawesi Tengah;2019;Sapi;Pemotongan Tercatat;29577
61;73;Sulawesi Selatan;2019;Sapi;Pemotongan Tercatat;90589
62;74;Sulawesi Tenggara;2019;Sapi;Pemotongan Tercatat;21879
63;75;Gorontalo;2019;Sapi;Pemotongan Tercatat;22284
64;76;Sulawesi Barat;2019;Sapi;Pemotongan Tercatat;12502
65;81;Maluku;2019;Sapi;Pemotongan Tercatat;13338
66;82;Maluku Utara;2019;Sapi;Pemotongan Tercatat;6477
67;92;Papua Barat;2019;Sapi;Pemotongan Tercatat;10290
68;91;Papua;2019;Sapi;Pemotongan Tercatat;18454
69;11;Aceh;2020;Sapi;Pemotongan Tercatat;66679
70;12;Sumatera Utara;2020;Sapi;Pemotongan Tercatat;64716
71;13;Sumatera Barat;2020;Sapi;Pemotongan Tercatat;84075
72;14;Riau;2020;Sapi;Pemotongan Tercatat;55379
73;15;Jambi;2020;Sapi;Pemotongan Tercatat;28565
74;16;Sumatera Selatan;2020;Sapi;Pemotongan Tercatat;60214
75;17;Bengkulu;2020;Sapi;Pemotongan Tercatat;11900
76;18;Lampung;2020;Sapi;Pemotongan Tercatat;55883
77;19;Kepulauan Bangka Belitung;2020;Sapi;Pemotongan Tercatat;7306
78;21;Kepulauan Riau;2020;Sapi;Pemotongan Tercatat;8501
79;31;DKI Jakarta;2020;Sapi;Pemotongan Tercatat;25524
80;32;Jawa Barat;2020;Sapi;Pemotongan Tercatat;284189
81;33;Jawa Tengah;2020;Sapi;Pemotongan Tercatat;227748
82;34;DI Yogyakarta;2020;Sapi;Pemotongan Tercatat;35668
83;35;Jawa Timur;2020;Sapi;Pemotongan Tercatat;288348
84;36;Banten;2020;Sapi;Pemotongan Tercatat;75473
85;51;Bali;2020;Sapi;Pemotongan Tercatat;25289
86;52;Nusa Tenggara Barat;2020;Sapi;Pemotongan Tercatat;61589
87;53;Nusa Tenggara Timur;2020;Sapi;Pemotongan Tercatat;27605
88;61;Kalimantan Barat;2020;Sapi;Pemotongan Tercatat;27891
89;62;Kalimantan Tengah;2020;Sapi;Pemotongan Tercatat;18421
90;63;Kalimantan Selatan;2020;Sapi;Pemotongan Tercatat;27606
91;64;Kalimantan Timur;2020;Sapi;Pemotongan Tercatat;48051
92;65;Kalimantan Utara;2020;Sapi;Pemotongan Tercatat;3802
93;71;Sulawesi Utara;2020;Sapi;Pemotongan Tercatat;16363
94;72;Sulawesi Tengah;2020;Sapi;Pemotongan Tercatat;26275
95;73;Sulawesi Selatan;2020;Sapi;Pemotongan Tercatat;76499
96;74;Sulawesi Tenggara;2020;Sapi;Pemotongan Tercatat;23146
97;75;Gorontalo;2020;Sapi;Pemotongan Tercatat;14471
98;76;Sulawesi Barat;2020;Sapi;Pemotongan Tercatat;10287
99;81;Maluku;2020;Sapi;Pemotongan Tercatat;13949
100;82;Maluku Utara;2020;Sapi;Pemotongan Tercatat;5161
101;92;Papua Barat;2020;Sapi;Pemotongan Tercatat;8874
102;91;Papua;2020;Sapi;Pemotongan Tercatat;17521
103;11;Aceh;2021;Sapi;Pemotongan Tercatat;60212
104;12;Sumatera Utara;2021;Sapi;Pemotongan Tercatat;59603
105;13;Sumatera Barat;2021;Sapi;Pemotongan Tercatat;93203
106;14;Riau;2021;Sapi;Pemotongan Tercatat;61383
107;15;Jambi;2021;Sapi;Pemotongan Tercatat;24159
108;16;Sumatera Selatan;2021;Sapi;Pemotongan Tercatat;58831
109;17;Bengkulu;2021;Sapi;Pemotongan Tercatat;17626
110;18;Lampung;2021;Sapi;Pemotongan Tercatat;78387
111;19;Kepulauan Bangka Belitung;2021;Sapi;Pemotongan Tercatat;14079
112;21;Kepulauan Riau;2021;Sapi;Pemotongan Tercatat;5458
113;31;DKI Jakarta;2021;Sapi;Pemotongan Tercatat;53623
114;32;Jawa Barat;2021;Sapi;Pemotongan Tercatat;272366
115;33;Jawa Tengah;2021;Sapi;Pemotongan Tercatat;247192
116;34;DI Yogyakarta;2021;Sapi;Pemotongan Tercatat;40023
117;35;Jawa Timur;2021;Sapi;Pemotongan Tercatat;381188
118;36;Banten;2021;Sapi;Pemotongan Tercatat;64330
119;51;Bali;2021;Sapi;Pemotongan Tercatat;23203
120;52;Nusa Tenggara Barat;2021;Sapi;Pemotongan Tercatat;59976
121;53;Nusa Tenggara Timur;2021;Sapi;Pemotongan Tercatat;30714
122;61;Kalimantan Barat;2021;Sapi;Pemotongan Tercatat;30578
123;62;Kalimantan Tengah;2021;Sapi;Pemotongan Tercatat;18455
124;63;Kalimantan Selatan;2021;Sapi;Pemotongan Tercatat;30281
125;64;Kalimantan Timur;2021;Sapi;Pemotongan Tercatat;42118
126;65;Kalimantan Utara;2021;Sapi;Pemotongan Tercatat;4279
127;71;Sulawesi Utara;2021;Sapi;Pemotongan Tercatat;14547
128;72;Sulawesi Tengah;2021;Sapi;Pemotongan Tercatat;36592
129;73;Sulawesi Selatan;2021;Sapi;Pemotongan Tercatat;95662
130;74;Sulawesi Tenggara;2021;Sapi;Pemotongan Tercatat;25219
131;75;Gorontalo;2021;Sapi;Pemotongan Tercatat;16870
132;76;Sulawesi Barat;2021;Sapi;Pemotongan Tercatat;9671
133;81;Maluku;2021;Sapi;Pemotongan Tercatat;13480
134;82;Maluku Utara;2021;Sapi;Pemotongan Tercatat;5021
135;92;Papua Barat;2021;Sapi;Pemotongan Tercatat;9852
136;91;Papua;2021;Sapi;Pemotongan Tercatat;12256
137;11;Aceh;2018;Sapi;Pemotongan Tidak Tercatat;5944
138;12;Sumatera Utara;2018;Sapi;Pemotongan Tidak Tercatat;39187
139;13;Sumatera Barat;2018;Sapi;Pemotongan Tidak Tercatat;8293
140;14;Riau;2018;Sapi;Pemotongan Tidak Tercatat;15084
141;15;Jambi;2018;Sapi;Pemotongan Tidak Tercatat;3445
142;16;Sumatera Selatan;2018;Sapi;Pemotongan Tidak Tercatat;2917
143;17;Bengkulu;2018;Sapi;Pemotongan Tidak Tercatat;1348
144;18;Lampung;2018;Sapi;Pemotongan Tidak Tercatat;12201
145;19;Kepulauan Bangka Belitung;2018;Sapi;Pemotongan Tidak Tercatat;8443
146;21;Kepulauan Riau;2018;Sapi;Pemotongan Tidak Tercatat;473
147;31;DKI Jakarta;2018;Sapi;Pemotongan Tidak Tercatat;3354
148;32;Jawa Barat;2018;Sapi;Pemotongan Tidak Tercatat;35422
149;33;Jawa Tengah;2018;Sapi;Pemotongan Tidak Tercatat;83852
150;34;DI Yogyakarta;2018;Sapi;Pemotongan Tidak Tercatat;2199
151;35;Jawa Timur;2018;Sapi;Pemotongan Tidak Tercatat;131512
152;36;Banten;2018;Sapi;Pemotongan Tidak Tercatat;46326
153;51;Bali;2018;Sapi;Pemotongan Tidak Tercatat;3179
154;52;Nusa Tenggara Barat;2018;Sapi;Pemotongan Tidak Tercatat;10792
155;53;Nusa Tenggara Timur;2018;Sapi;Pemotongan Tidak Tercatat;10390
156;61;Kalimantan Barat;2018;Sapi;Pemotongan Tidak Tercatat;0
157;62;Kalimantan Tengah;2018;Sapi;Pemotongan Tidak Tercatat;5135
158;63;Kalimantan Selatan;2018;Sapi;Pemotongan Tidak Tercatat;0
159;64;Kalimantan Timur;2018;Sapi;Pemotongan Tidak Tercatat;6559
160;65;Kalimantan Utara;2018;Sapi;Pemotongan Tidak Tercatat;29
161;71;Sulawesi Utara;2018;Sapi;Pemotongan Tidak Tercatat;0
162;72;Sulawesi Tengah;2018;Sapi;Pemotongan Tidak Tercatat;2897
163;73;Sulawesi Selatan;2018;Sapi;Pemotongan Tidak Tercatat;12265
164;74;Sulawesi Tenggara;2018;Sapi;Pemotongan Tidak Tercatat;7307
165;75;Gorontalo;2018;Sapi;Pemotongan Tidak Tercatat;2474
166;76;Sulawesi Barat;2018;Sapi;Pemotongan Tidak Tercatat;1338
167;81;Maluku;2018;Sapi;Pemotongan Tidak Tercatat;1286
168;82;Maluku Utara;2018;Sapi;Pemotongan Tidak Tercatat;547
169;92;Papua Barat;2018;Sapi;Pemotongan Tidak Tercatat;1023
170;91;Papua;2018;Sapi;Pemotongan Tidak Tercatat;1195
171;11;Aceh;2019;Sapi;Pemotongan Tidak Tercatat;5374
172;12;Sumatera Utara;2019;Sapi;Pemotongan Tidak Tercatat;27726
173;13;Sumatera Barat;2019;Sapi;Pemotongan Tidak Tercatat;8820
174;14;Riau;2019;Sapi;Pemotongan Tidak Tercatat;605
175;15;Jambi;2019;Sapi;Pemotongan Tidak Tercatat;7492
176;16;Sumatera Selatan;2019;Sapi;Pemotongan Tidak Tercatat;2963
177;17;Bengkulu;2019;Sapi;Pemotongan Tidak Tercatat;1412
178;18;Lampung;2019;Sapi;Pemotongan Tidak Tercatat;12690
179;19;Kepulauan Bangka Belitung;2019;Sapi;Pemotongan Tidak Tercatat;7420
180;21;Kepulauan Riau;2019;Sapi;Pemotongan Tidak Tercatat;562
181;31;DKI Jakarta;2019;Sapi;Pemotongan Tidak Tercatat;4056
182;32;Jawa Barat;2019;Sapi;Pemotongan Tidak Tercatat;34185
183;33;Jawa Tengah;2019;Sapi;Pemotongan Tidak Tercatat;92300
184;34;DI Yogyakarta;2019;Sapi;Pemotongan Tidak Tercatat;2773
185;35;Jawa Timur;2019;Sapi;Pemotongan Tidak Tercatat;166097
186;36;Banten;2019;Sapi;Pemotongan Tidak Tercatat;1973
187;51;Bali;2019;Sapi;Pemotongan Tidak Tercatat;3532
188;52;Nusa Tenggara Barat;2019;Sapi;Pemotongan Tidak Tercatat;11112
189;53;Nusa Tenggara Timur;2019;Sapi;Pemotongan Tidak Tercatat;3446
190;61;Kalimantan Barat;2019;Sapi;Pemotongan Tidak Tercatat;7
191;62;Kalimantan Tengah;2019;Sapi;Pemotongan Tidak Tercatat;3879
192;63;Kalimantan Selatan;2019;Sapi;Pemotongan Tidak Tercatat;0
193;64;Kalimantan Timur;2019;Sapi;Pemotongan Tidak Tercatat;5236
194;65;Kalimantan Utara;2019;Sapi;Pemotongan Tidak Tercatat;25
195;71;Sulawesi Utara;2019;Sapi;Pemotongan Tidak Tercatat;1732
196;72;Sulawesi Tengah;2019;Sapi;Pemotongan Tidak Tercatat;2958
197;73;Sulawesi Selatan;2019;Sapi;Pemotongan Tidak Tercatat;31854
198;74;Sulawesi Tenggara;2019;Sapi;Pemotongan Tidak Tercatat;4615
199;75;Gorontalo;2019;Sapi;Pemotongan Tidak Tercatat;2227
200;76;Sulawesi Barat;2019;Sapi;Pemotongan Tidak Tercatat;1251
201;81;Maluku;2019;Sapi;Pemotongan Tidak Tercatat;1335
202;82;Maluku Utara;2019;Sapi;Pemotongan Tidak Tercatat;1294
203;92;Papua Barat;2019;Sapi;Pemotongan Tidak Tercatat;1117
204;91;Papua;2019;Sapi;Pemotongan Tidak Tercatat;1847
205;11;Aceh;2020;Sapi;Pemotongan Tidak Tercatat;6670
206;12;Sumatera Utara;2020;Sapi;Pemotongan Tidak Tercatat;34994
207;13;Sumatera Barat;2020;Sapi;Pemotongan Tidak Tercatat;7747
208;14;Riau;2020;Sapi;Pemotongan Tidak Tercatat;976
209;15;Jambi;2020;Sapi;Pemotongan Tidak Tercatat;2858
210;16;Sumatera Selatan;2020;Sapi;Pemotongan Tidak Tercatat;6039
211;17;Bengkulu;2020;Sapi;Pemotongan Tidak Tercatat;6548
212;18;Lampung;2020;Sapi;Pemotongan Tidak Tercatat;5589
213;19;Kepulauan Bangka Belitung;2020;Sapi;Pemotongan Tidak Tercatat;5882
214;21;Kepulauan Riau;2020;Sapi;Pemotongan Tidak Tercatat;850
215;31;DKI Jakarta;2020;Sapi;Pemotongan Tidak Tercatat;1278
216;32;Jawa Barat;2020;Sapi;Pemotongan Tidak Tercatat;37385
217;33;Jawa Tengah;2020;Sapi;Pemotongan Tidak Tercatat;81823
218;34;DI Yogyakarta;2020;Sapi;Pemotongan Tidak Tercatat;2604
219;35;Jawa Timur;2020;Sapi;Pemotongan Tidak Tercatat;130432
220;36;Banten;2020;Sapi;Pemotongan Tidak Tercatat;7547
221;51;Bali;2020;Sapi;Pemotongan Tidak Tercatat;2529
222;52;Nusa Tenggara Barat;2020;Sapi;Pemotongan Tidak Tercatat;12318
223;53;Nusa Tenggara Timur;2020;Sapi;Pemotongan Tidak Tercatat;2767
224;61;Kalimantan Barat;2020;Sapi;Pemotongan Tidak Tercatat;56
225;62;Kalimantan Tengah;2020;Sapi;Pemotongan Tidak Tercatat;6246
226;63;Kalimantan Selatan;2020;Sapi;Pemotongan Tidak Tercatat;0
227;64;Kalimantan Timur;2020;Sapi;Pemotongan Tidak Tercatat;4808
228;65;Kalimantan Utara;2020;Sapi;Pemotongan Tidak Tercatat;379
229;71;Sulawesi Utara;2020;Sapi;Pemotongan Tidak Tercatat;1638
230;72;Sulawesi Tengah;2020;Sapi;Pemotongan Tidak Tercatat;2627
231;73;Sulawesi Selatan;2020;Sapi;Pemotongan Tidak Tercatat;30341
232;74;Sulawesi Tenggara;2020;Sapi;Pemotongan Tidak Tercatat;4836
233;75;Gorontalo;2020;Sapi;Pemotongan Tidak Tercatat;1448
234;76;Sulawesi Barat;2020;Sapi;Pemotongan Tidak Tercatat;1028
235;81;Maluku;2020;Sapi;Pemotongan Tidak Tercatat;1759
236;82;Maluku Utara;2020;Sapi;Pemotongan Tidak Tercatat;517
237;92;Papua Barat;2020;Sapi;Pemotongan Tidak Tercatat;888
238;91;Papua;2020;Sapi;Pemotongan Tidak Tercatat;1753
239;11;Aceh;2021;Sapi;Pemotongan Tidak Tercatat;6024
240;12;Sumatera Utara;2021;Sapi;Pemotongan Tidak Tercatat;33948
241;13;Sumatera Barat;2021;Sapi;Pemotongan Tidak Tercatat;0
242;14;Riau;2021;Sapi;Pemotongan Tidak Tercatat;0
243;15;Jambi;2021;Sapi;Pemotongan Tidak Tercatat;2134
244;16;Sumatera Selatan;2021;Sapi;Pemotongan Tidak Tercatat;5885
245;17;Bengkulu;2021;Sapi;Pemotongan Tidak Tercatat;5623
246;18;Lampung;2021;Sapi;Pemotongan Tidak Tercatat;7838
247;19;Kepulauan Bangka Belitung;2021;Sapi;Pemotongan Tidak Tercatat;1408
248;21;Kepulauan Riau;2021;Sapi;Pemotongan Tidak Tercatat;546
249;31;DKI Jakarta;2021;Sapi;Pemotongan Tidak Tercatat;2680
250;32;Jawa Barat;2021;Sapi;Pemotongan Tidak Tercatat;56217
251;33;Jawa Tengah;2021;Sapi;Pemotongan Tidak Tercatat;83313
252;34;DI Yogyakarta;2021;Sapi;Pemotongan Tidak Tercatat;1718
253;35;Jawa Timur;2021;Sapi;Pemotongan Tidak Tercatat;95293
254;36;Banten;2021;Sapi;Pemotongan Tidak Tercatat;10380
255;51;Bali;2021;Sapi;Pemotongan Tidak Tercatat;2322
256;52;Nusa Tenggara Barat;2021;Sapi;Pemotongan Tidak Tercatat;11995
257;53;Nusa Tenggara Timur;2021;Sapi;Pemotongan Tidak Tercatat;3072
258;61;Kalimantan Barat;2021;Sapi;Pemotongan Tidak Tercatat;3059
259;62;Kalimantan Tengah;2021;Sapi;Pemotongan Tidak Tercatat;6007
260;63;Kalimantan Selatan;2021;Sapi;Pemotongan Tidak Tercatat;0
261;64;Kalimantan Timur;2021;Sapi;Pemotongan Tidak Tercatat;4214
262;65;Kalimantan Utara;2021;Sapi;Pemotongan Tidak Tercatat;428
263;71;Sulawesi Utara;2021;Sapi;Pemotongan Tidak Tercatat;1453
264;72;Sulawesi Tengah;2021;Sapi;Pemotongan Tidak Tercatat;3660
265;73;Sulawesi Selatan;2021;Sapi;Pemotongan Tidak Tercatat;9567
266;74;Sulawesi Tenggara;2021;Sapi;Pemotongan Tidak Tercatat;4336
267;75;Gorontalo;2021;Sapi;Pemotongan Tidak Tercatat;1686
268;76;Sulawesi Barat;2021;Sapi;Pemotongan Tidak Tercatat;968
269;81;Maluku;2021;Sapi;Pemotongan Tidak Tercatat;1564
270;82;Maluku Utara;2021;Sapi;Pemotongan Tidak Tercatat;330
271;92;Papua Barat;2021;Sapi;Pemotongan Tidak Tercatat;985
272;91;Papua;2021;Sapi;Pemotongan Tidak Tercatat;1226
273;11;Aceh;2018;Kerbau;Pemotongan Tercatat;20447
274;12;Sumatera Utara;2018;Kerbau;Pemotongan Tercatat;5872
275;13;Sumatera Barat;2018;Kerbau;Pemotongan Tercatat;9422
276;14;Riau;2018;Kerbau;Pemotongan Tercatat;9624
277;15;Jambi;2018;Kerbau;Pemotongan Tercatat;7282
278;16;Sumatera Selatan;2018;Kerbau;Pemotongan Tercatat;2742
279;17;Bengkulu;2018;Kerbau;Pemotongan Tercatat;1019
280;18;Lampung;2018;Kerbau;Pemotongan Tercatat;344
281;19;Kepulauan Bangka Belitung;2018;Kerbau;Pemotongan Tercatat;0
282;21;Kepulauan Riau;2018;Kerbau;Pemotongan Tercatat;0
283;31;DKI Jakarta;2018;Kerbau;Pemotongan Tercatat;128
284;32;Jawa Barat;2018;Kerbau;Pemotongan Tercatat;5096
285;33;Jawa Tengah;2018;Kerbau;Pemotongan Tercatat;6902
286;34;DI Yogyakarta;2018;Kerbau;Pemotongan Tercatat;1
287;35;Jawa Timur;2018;Kerbau;Pemotongan Tercatat;14
288;36;Banten;2018;Kerbau;Pemotongan Tercatat;1594
289;51;Bali;2018;Kerbau;Pemotongan Tercatat;8
290;52;Nusa Tenggara Barat;2018;Kerbau;Pemotongan Tercatat;4784
291;53;Nusa Tenggara Timur;2018;Kerbau;Pemotongan Tercatat;6808
292;61;Kalimantan Barat;2018;Kerbau;Pemotongan Tercatat;211
293;62;Kalimantan Tengah;2018;Kerbau;Pemotongan Tercatat;242
294;63;Kalimantan Selatan;2018;Kerbau;Pemotongan Tercatat;2642
295;64;Kalimantan Timur;2018;Kerbau;Pemotongan Tercatat;230
296;65;Kalimantan Utara;2018;Kerbau;Pemotongan Tercatat;33
297;71;Sulawesi Utara;2018;Kerbau;Pemotongan Tercatat;0
298;72;Sulawesi Tengah;2018;Kerbau;Pemotongan Tercatat;59
299;73;Sulawesi Selatan;2018;Kerbau;Pemotongan Tercatat;14860
300;74;Sulawesi Tenggara;2018;Kerbau;Pemotongan Tercatat;137
301;75;Gorontalo;2018;Kerbau;Pemotongan Tercatat;25
302;76;Sulawesi Barat;2018;Kerbau;Pemotongan Tercatat;619
303;81;Maluku;2018;Kerbau;Pemotongan Tercatat;231
304;82;Maluku Utara;2018;Kerbau;Pemotongan Tercatat;0
305;92;Papua Barat;2018;Kerbau;Pemotongan Tercatat;0
306;91;Papua;2018;Kerbau;Pemotongan Tercatat;111
307;11;Aceh;2019;Kerbau;Pemotongan Tercatat;12205
308;12;Sumatera Utara;2019;Kerbau;Pemotongan Tercatat;6351
309;13;Sumatera Barat;2019;Kerbau;Pemotongan Tercatat;9150
310;14;Riau;2019;Kerbau;Pemotongan Tercatat;9589
311;15;Jambi;2019;Kerbau;Pemotongan Tercatat;8311
312;16;Sumatera Selatan;2019;Kerbau;Pemotongan Tercatat;2905
313;17;Bengkulu;2019;Kerbau;Pemotongan Tercatat;1197
314;18;Lampung;2019;Kerbau;Pemotongan Tercatat;425
315;19;Kepulauan Bangka Belitung;2019;Kerbau;Pemotongan Tercatat;1
316;21;Kepulauan Riau;2019;Kerbau;Pemotongan Tercatat;0
317;31;DKI Jakarta;2019;Kerbau;Pemotongan Tercatat;239
318;32;Jawa Barat;2019;Kerbau;Pemotongan Tercatat;3752
319;33;Jawa Tengah;2019;Kerbau;Pemotongan Tercatat;6065
320;34;DI Yogyakarta;2019;Kerbau;Pemotongan Tercatat;5
321;35;Jawa Timur;2019;Kerbau;Pemotongan Tercatat;15
322;36;Banten;2019;Kerbau;Pemotongan Tercatat;12075
323;51;Bali;2019;Kerbau;Pemotongan Tercatat;69
324;52;Nusa Tenggara Barat;2019;Kerbau;Pemotongan Tercatat;5221
325;53;Nusa Tenggara Timur;2019;Kerbau;Pemotongan Tercatat;8248
326;61;Kalimantan Barat;2019;Kerbau;Pemotongan Tercatat;221
327;62;Kalimantan Tengah;2019;Kerbau;Pemotongan Tercatat;236
328;63;Kalimantan Selatan;2019;Kerbau;Pemotongan Tercatat;2580
329;64;Kalimantan Timur;2019;Kerbau;Pemotongan Tercatat;295
330;65;Kalimantan Utara;2019;Kerbau;Pemotongan Tercatat;25
